//整理测试——【公众号：放学回家看电视】
//本资源仅作为个人JDK学习测试之用，请勿作商业之用
//有同好交流学习，请关注公众号

更新提示：,#genre#
多年以后,https://vd2.bdstatic.com/mda-nhh1k0x48y6yf3t3/sc/cae_h264/1660786840444964591/mda-nhh1k0x48y6yf3t3.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101804-0-0-8ba930de76cc5f3b35b8f9073082ffac&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2004519209&vid=3326032770398347186&abtest=104959_2&klogid=2004519209
甜蜜蜜,https://vd4.bdstatic.com/mda-nhi1q4truesxqxuq/sc/cae_h264/1660894451896075956/mda-nhi1q4truesxqxuq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101805-0-0-b1b6b0e18c48cfe742014dddfdc77133&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2005929589&vid=18056024416716518085&abtest=104959_2&klogid=2005929589
天若有情,https://vd2.bdstatic.com/mda-nhh1j64camascxp2/sc/cae_h264/1660787144539170631/mda-nhh1j64camascxp2.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101810-0-0-e485e889f4d4ab779b993394a87911e0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2010581087&vid=2687977488994785560&abtest=104959_2&klogid=2010581087
人在江湖飘,https://vd4.bdstatic.com/mda-nhf27b3w57cm1nrd/sc/cae_h264/1660614424353653538/mda-nhf27b3w57cm1nrd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101815-0-0-9fd6c5e081dc68e0378650432515d172&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2015895646&vid=14988028202364241845&abtest=104959_2&klogid=2015895646
新打工谣,https://vd2.bdstatic.com/mda-nhf1qhwsx4yqg8ba/sc/cae_h264/1660612695026252891/mda-nhf1qhwsx4yqg8ba.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101981-0-0-f7a9f36ae5526c706b9ce6a0d62e2690&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2181249234&vid=13476380673677624546&abtest=104959_2&klogid=2181249234
相信自己,https://vd4.bdstatic.com/mda-nhf26m5qahazv0pt/sc/cae_h264/1660624588334006692/mda-nhf26m5qahazv0pt.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101817-0-0-5dd347aaab96f1806c8ed0652d90abe3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2017923550&vid=3478434072691654472&abtest=104959_2&klogid=2017923550
你家在哪里,https://vd2.bdstatic.com/mda-nhd1v3mfknip2yaq/sc/cae_h264/1660443604976382547/mda-nhd1v3mfknip2yaq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101821-0-0-5ab66ca1093d26f6bc71c4328d5a284e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2021370123&vid=4108798918356974830&abtest=104959_2&klogid=2021370123
红尘有你,https://vd3.bdstatic.com/mda-nhb1nx8k4xfsep3n/sc/cae_h264/1660283807001164457/mda-nhb1nx8k4xfsep3n.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101822-0-0-8b54e69c80096e7d53c7aff1d0e598fc&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2022951701&vid=9081027338093963157&abtest=104959_2&klogid=2022951701
难以抗拒,https://vd4.bdstatic.com/mda-nh828hkpw7ub76je/sc/cae_h264/1660049894627792209/mda-nh828hkpw7ub76je.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101830-0-0-2000922402ab68c94c5de8d559b08e31&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2030182590&vid=2610008648867092025&abtest=104959_2&klogid=2030182590
像我这样的人,https://vd3.bdstatic.com/mda-nh92ui5u5nq5ycjd/sc/cae_h264/1660097445710337336/mda-nh92ui5u5nq5ycjd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101832-0-0-d23a87c754f339fb81f0174549b59dc6&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2032927484&vid=731164549559976541&abtest=104959_2&klogid=2032927484
父亲,https://vd3.bdstatic.com/mda-nh62mqmbifuar8rz/sc/cae_h264/1659859426354262394/mda-nh62mqmbifuar8rz.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101836-0-0-b362200023ed93fb33fa1975962fdd1d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2036454512&vid=8594200827217631217&abtest=104959_2&klogid=2036454512
逆战,https://vd3.bdstatic.com/mda-ngw38rsr5j7vkyua/sc/cae_h264/1659234306857407468/mda-ngw38rsr5j7vkyua.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102158-0-0-cee40a86f49a348e7903c7eaef7ab27c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2357971376&vid=17434268547560777667&abtest=104959_2&klogid=2357971376
梁祝,https://vd4.bdstatic.com/mda-jmwnmgpdwytsdpqr/v1-cae/sc/mda-jmwnmgpdwytsdpqr.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102301-0-0-69cefa52966e83f6628e03cc2441a11a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2501183271&vid=4023744792679793088&abtest=104959_2&klogid=2501183271





牛批,#genre#
开挂特工,https://vd3.bdstatic.com/mda-nhkaqyfkkqknufk6/720p/h264/1661067426236670869/mda-nhkaqyfkkqknufk6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156291-0-0-60af4565dac013ac50f3061aa002545a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2491168407&vid=11623002899654424074&abtest=104959_2&klogid=2491168407
男人闯进山洞,https://vd2.bdstatic.com/mda-njgb3dcnrnznaraq/sc/cae_h264/1665993393814242015/mda-njgb3dcnrnznaraq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156318-0-0-90005a9758664c6635940e875fe61242&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2518100189&vid=2789100418890781673&abtest=104959_2&klogid=2518100189
男人闯进山洞,https://vd4.bdstatic.com/mda-njgayyk0wyst7tc6/sc/cae_h264/1665993007925661401/mda-njgayyk0wyst7tc6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156318-0-0-92fc7051f5eac659dced58097fbf15b1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2518845553&vid=10714675870484077605&abtest=104959_2&klogid=2518845553
男人闯进山洞,https://vd2.bdstatic.com/mda-njgask6d2a7tpwhj/sc/cae_h264/1665992545405801816/mda-njgask6d2a7tpwhj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156319-0-0-0f6487ff962ccbaeb498c9c0bb242b8a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2519755794&vid=7343869248920026063&abtest=104959_2&klogid=2519755794
万能鼠标,https://vd2.bdstatic.com/mda-nh6ebtjcjj3i5jny/sc/cae_h264/1659869389624007720/mda-nh6ebtjcjj3i5jny.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156083-0-0-1fce29a396a1f41a53d01571705038f0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2283596065&vid=18142545871186629046&abtest=104959_2&klogid=2283596065
30年后的手机,https://vd4.bdstatic.com/mda-nhi9wx4gtgfy1nsk/sc/cae_h264/1660895200332389323/mda-nhi9wx4gtgfy1nsk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156268-0-0-593983a2ed206ba692a3758b07113a56&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2468171582&vid=13721233155318221262&abtest=104959_2&klogid=2468171582

暴脾气,https://vd3.bdstatic.com/mda-nhn64qizbihv52dd/sc/cae_h264/1661243555974091830/mda-nhn64qizbihv52dd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103379-0-0-4b5a9afe62c97026322e6e67e616deeb&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3579242017&vid=866720035880468461&abtest=104959_2&klogid=3579242017
解药大作战,https://vd2.bdstatic.com/mda-ng5k8u1b4yk6vej3/sc/cae_h264/1657117700514159966/mda-ng5k8u1b4yk6vej3.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156177-0-0-cdf1e81e79725926970bcb77426686c2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2376964219&vid=8964282567670175860&abtest=104959_2&klogid=2376964219
好运,https://vd3.bdstatic.com/mda-miuej6bp1g9865q5/sc/cae_h264_nowatermark/1632912124058800098/mda-miuej6bp1g9865q5.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666157165-0-0-c4ed24a44c814675345579f9a62f3566&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3364996554&vid=12135734771801354161&abtest=104959_2&klogid=3364996554
好日子,#genre#
先爽为敬,https://vd4.bdstatic.com/mda-nic5d6ptxavba5ri/sc/cae_h264/1663041738711413123/mda-nic5d6ptxavba5ri.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155417-0-0-ced9ae66b8d263d585678c34c6769083&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1617173535&vid=9545153307846837605&abtest=104959_2&klogid=1617173535
抗日,https://vd3.bdstatic.com/mda-nj1nsibc218r7n4s/sc/cae_h264/1664853051991665828/mda-nj1nsibc218r7n4s.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155056-0-0-7867f058b63b06edd2d7aae931ea9444&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1256535833&vid=810122967499988724&abtest=104959_2&klogid=1256535833
太爽了,https://vd4.bdstatic.com/mda-nivja6apxh5wa4fu/sc/cae_h264/1664545952440411975/mda-nivja6apxh5wa4fu.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155176-0-0-418350206783c1c37c52d07195fedfb1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1376892178&vid=17029160627777134605&abtest=104959_2&klogid=1376892178
二爽,https://vd4.bdstatic.com/mda-niui14u6yyc0818w/sc/cae_h264/1664456601071520100/mda-niui14u6yyc0818w.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155193-0-0-5c56d8891cc3fb7468db15c2c1886f34&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1393942809&vid=4710112177456306595&abtest=104959_2&klogid=1393942809
三爽,https://vd4.bdstatic.com/mda-nishqs0uksdfx6j4/sc/cae_h264/1664282923287425578/mda-nishqs0uksdfx6j4.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155197-0-0-a64d246a81c99d8c75a9947b87e82c26&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1397305124&vid=3009400994871611718&abtest=104959_2&klogid=1397305124
四爽,https://vd4.bdstatic.com/mda-nishr56qufcfu6bt/sc/cae_h264/1664284256145536723/mda-nishr56qufcfu6bt.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155195-0-0-360e8378515e2cd0f1c82261a271e9e3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1395399550&vid=4885280443283448515&abtest=104959_2&klogid=1395399550

五爽,https://vd4.bdstatic.com/mda-nirbsu0v5kjpb4uk/sc/cae_h264/1664181362331082639/mda-nirbsu0v5kjpb4uk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155199-0-0-04b4cdb0823061b95a8b6ce417d86d8b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1399017432&vid=13643740281136217792&abtest=104959_2&klogid=1399017432
六爽,https://vd3.bdstatic.com/mda-niqjftcvhegwdnwp/720p/h264/1664115085998523057/mda-niqjftcvhegwdnwp.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155252-0-0-485b84b1920208471ad7605d78ea48d0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1451963352&vid=6937936080158091661&abtest=104959_2&klogid=1451963352
七爽,https://vd2.bdstatic.com/mda-niqjgvknnjuhpes5/sc/cae_h264/1664114989382250898/mda-niqjgvknnjuhpes5.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155253-0-0-426f369c123b962ced8fe5b4bd609ae9&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1453499395&vid=11707125713751631083&abtest=104959_2&klogid=1453499395
八爽,https://vd2.bdstatic.com/mda-niji45acnvyp66i1/sc/cae_h264/1663679343811885837/mda-niji45acnvyp66i1.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155266-0-0-896b9d4a9ac6b4bc8e0831d447622dd1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1465990352&vid=6227822391853853269&abtest=104959_2&klogid=1465990352
九爽,https://vd4.bdstatic.com/mda-niefhsxcmdjz7aqq/sc/cae_h264/1663254980492914886/mda-niefhsxcmdjz7aqq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155415-0-0-5ffca0e477c06cc165ec2648ba54e379&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1615479757&vid=732070629243555968&abtest=104959_2&klogid=1615479757
十爽,https://vd3.bdstatic.com/mda-niefvq6fttyymrax/sc/cae_h264/1663246761153411996/mda-niefvq6fttyymrax.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155415-0-0-533cfe11807c0eb0243f6240bb78317c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1615194746&vid=3582107938971827884&abtest=104959_2&klogid=1615194746
十一爽,https://vd2.bdstatic.com/mda-nif4k9mv8vi7cn0s/sc/cae_h264/1663299387836304385/mda-nif4k9mv8vi7cn0s.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155414-0-0-9e133eb7c9f33740803eb5efa91b8429&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1613985267&vid=16315935364310702439&abtest=104959_2&klogid=1613985267
十二爽,https://vd3.bdstatic.com/mda-nif4kdhb4y39e5tw/sc/cae_h264/1663300182721337098/mda-nif4kdhb4y39e5tw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155413-0-0-066ff71e897b0c007789a48a059cf69c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1613048163&vid=6375059110906806784&abtest=104959_2&klogid=1613048163
十三爽,https://vd3.bdstatic.com/mda-nifgda563draw23f/sc/cae_h264/1663341980097302961/mda-nifgda563draw23f.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155412-0-0-a6b301bfb2f8dba4b13195ac26fc8bf6&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1612197099&vid=4008017949974854124&abtest=104959_2&klogid=1612197099
十四爽,https://vd4.bdstatic.com/mda-nig5g7fbjgs3srwc/sc/cae_h264/1663409294395235162/mda-nig5g7fbjgs3srwc.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155411-0-0-f9a3cf7ea932bfe863163f6ef75be74d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1611496890&vid=10736644554172973595&abtest=104959_2&klogid=1611496890
十五爽,https://vd2.bdstatic.com/mda-nigj86cqwddq0i4i/sc/cae_h264/1663424366495934337/mda-nigj86cqwddq0i4i.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155410-0-0-9d08f23aae87085978586dc29ddd1a1b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1610749348&vid=16240123646018123470&abtest=104959_2&klogid=1610749348
十六爽,https://vd2.bdstatic.com/mda-ni94drmzny7zuufh/sc/cae_h264/1662866426351573936/mda-ni94drmzny7zuufh.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155656-0-0-650edd69c46ac48ba46a16e37712ff14&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1856275199&vid=11378471797631384096&abtest=104959_2&klogid=1856275199
十七爽,https://vd3.bdstatic.com/mda-ni949n8pgwf2q85u/sc/cae_h264/1662865340173558933/mda-ni949n8pgwf2q85u.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155657-0-0-c23de999050359093953032a51fc5e5f&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1857004073&vid=3004607404299299281&abtest=104959_2&klogid=1857004073
十八爽,https://vd2.bdstatic.com/mda-ni8dhsqf2bay6p6b/sc/cae_h264/1662717429564811373/mda-ni8dhsqf2bay6p6b.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155657-0-0-b4be8a492aff9d680d55e1e6c132c993&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1857734046&vid=10909581507438250936&abtest=104959_2&klogid=1857734046
十九爽,https://vd2.bdstatic.com/mda-ni8dhsqf2bay6p6b/sc/cae_h264/1662717429564811373/mda-ni8dhsqf2bay6p6b.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155657-0-0-b4be8a492aff9d680d55e1e6c132c993&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1857734046&vid=10909581507438250936&abtest=104959_2&klogid=1857734046
二十爽,https://vd3.bdstatic.com/mda-nhffy005itsjy34b/sc/cae_h264/1660650768497624216/mda-nhffy005itsjy34b.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155998-0-0-e422412e727cd07387e5db9c08c921c5&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2198193503&vid=5202803383955042071&abtest=104959_2&klogid=2198193503
二十一爽,https://vd3.bdstatic.com/mda-nhffy4bsyxgruxhd/sc/cae_h264/1660652084014217958/mda-nhffy4bsyxgruxhd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155997-0-0-2fcb7b3242cf179bb143e71d1453ba03&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2197129221&vid=12708865410177587437&abtest=104959_2&klogid=2197129221
二十二爽,https://vd3.bdstatic.com/mda-nhphmgf3augwudwc/sc/cae_h264/1661391799462993004/mda-nhphmgf3augwudwc.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155987-0-0-0d21c592bfbf3b73498ebb7368c3e2fd&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2187709567&vid=4319842518330699854&abtest=104959_2&klogid=2187709567
二十三爽,https://vd2.bdstatic.com/mda-nhv52hft375y8xrd/sc/cae_h264/1661832843040711106/mda-nhv52hft375y8xrd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155974-0-0-de74b91b9e5c2c2b6413e214f6c456f7&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2174361580&vid=2390428364177394906&abtest=104959_2&klogid=2174361580
二十四爽,https://vd2.bdstatic.com/mda-nhv52m0fa0imj9zi/sc/cae_h264/1661833153631667840/mda-nhv52m0fa0imj9zi.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155973-0-0-85d7fc75bbf243dfcc2705b47ab955e2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2173027424&vid=11362901412757191886&abtest=104959_2&klogid=2173027424
二十五爽,https://vd2.bdstatic.com/mda-nhv52rfb3mtp6suv/sc/cae_h264/1661834087174005580/mda-nhv52rfb3mtp6suv.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155972-0-0-4657a2f63ac900d36ebb84ccf6730dd1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2172144567&vid=3650655058622985986&abtest=104959_2&klogid=2172144567
二十六爽,https://vd4.bdstatic.com/mda-nh2ehwun7n624hvw/sc/cae_h264/1659524723174102304/mda-nh2ehwun7n624hvw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156117-0-0-56361c00d8e59d77a4caf308688ad12b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2317739037&vid=8006838544118634015&abtest=104959_2&klogid=2317739037
二十七爽,https://vd4.bdstatic.com/mda-nh2ehwun7n624hvw/sc/cae_h264/1659524723174102304/mda-nh2ehwun7n624hvw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156117-0-0-56361c00d8e59d77a4caf308688ad12b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2317739037&vid=8006838544118634015&abtest=104959_2&klogid=2317739037
二十八爽,https://vd3.bdstatic.com/mda-nh2fpdasd88ivkx9/720p/h264/1659524693733916043/mda-nh2fpdasd88ivkx9.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156112-0-0-e683839459f8d607510db3b52333a3b3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2312655319&vid=15535975653560617797&abtest=104959_2&klogid=2312655319

SBRB,https://vd4.bdstatic.com/mda-ni5f6qdce63eqaqv/sc/cae_h264/1662462412510510881/mda-ni5f6qdce63eqaqv.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666155953-0-0-16a79855b0680902589a20e4ab8839b3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2153348891&vid=3976725229757221995&abtest=104959_2&klogid=2153348891
江西移动,#genre#
CCTV1,http://111.59.63.32:85//tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.59.63.32:85//tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.59.63.32:85//tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://111.59.63.32:85//tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://111.59.63.32:85//tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://111.59.63.32:85//tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://111.59.63.32:85//tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://111.59.63.32:85//tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://111.59.63.32:85//tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://111.59.63.32:85//tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://111.59.63.32:85//tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://111.59.63.32:85//tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://111.59.63.32:85//tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://111.59.63.32:85//tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://111.59.63.32:85//tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://111.59.63.32:85//tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
